CFOP,DESCRIÇÃO,APLICAÇÃO,
2.126,"Compra para utilização na prestação de serviço sujeita ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) - DECRETO 36.465/2011","Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010). efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011",
2.128,"Compra para utilização na prestação de serviço sujeita ao ISSQN(AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011","Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1º de janeiro de 2011- DECRETO 36.465/2011",
2.15,"TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)", Início,
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.151,Transferência para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Entrada de mercadoria, recebida em transferência de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrialização ou produção rural.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.152,Transferência para comercialização,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.",
2.153,Transferência de energia elétrica para distribuição,"Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.",
2.154,Transferência para utilização na prestação de serviço,"Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.",
2.2,DEVOLUÇÕES DE VENDAS DE PRODUÇÃO DO ESTABELECIMENTO OU DE TERCEIROS OU ANULAÇÕES DE VALORES, Início,
2.201,Devolução de venda de produção do estabelecimento,"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada no código ""6.101 - Venda de produção do estabelecimento"".",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.202,Devolução de venda de mercadoria adquirida ou recebida de terceiros,"Devolução de vendas de mercadoria, adquirida ou recebida de terceiro, que não tenham sido objeto de industrialização no estabelecimento, cuja saída tenha sido classificada como Venda de mercadoria adquirida ou recebida de terceiros.",
2.203,Devolução de venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio,"Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada no código ""6.109 – Venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio"".",
,,,
,," (NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.204,"Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio","Devolução de venda de mercadoria adquirida ou recebida de terceiro, cuja saída tenha sido classificada no código “6.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio”.",
2.205,Anulação de valor relativo à prestação de serviço de comunicação,"Anulação correspondente a valor faturado indevidamente, decorrente de prestação de serviço de comunicação.",
2.206,Anulação de valor relativo à prestação de serviço de transporte,"Anulação correspondente a valor faturado indevidamente, decorrente de prestação de serviço de transporte.",
2.207,Anulação de valor relativo à venda de energia elétrica,"Anulação correspondente a valor faturado indevidamente, decorrente de venda de energia elétrica.",
2.208,"Devolução de produção do estabelecimento, remetida em transferência.",Devolução de produto industrializado ou produzido pelo estabelecimento e transferido para outro estabelecimento da mesma empresa.,
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.209,Devolução de mercadoria adquirida ou recebida de terceiros e remetida em transferência,"Devolução de mercadoria adquirida ou recebida de terceiros, transferidas para outros estabelecimentos da mesma empresa.",
2.25,COMPRAS DE ENERGIA ELÉTRICA, Início,
2.251,Compra de energia elétrica para distribuição ou comercialização,Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição com seus cooperados.,
2.252,Compra de energia elétrica por estabelecimento industrial,Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.,
2.253,Compra de energia elétrica por estabelecimento comercial,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.,
2.254,Compra de energia elétrica por estabelecimento prestador de serviço de transporte,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.,
2.255,Compra de energia elétrica por estabelecimento prestador de serviço de comunicação,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.,
2.256,Compra de energia elétrica por estabelecimento de produtor rural,Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.,
2.257,Compra de energia elétrica para consumo por demanda contratada,"Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.",
2.3,AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO, Início,
2.301,Aquisição de serviço de comunicação para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.,
2.302,Aquisição de serviço de comunicação por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento industrial de cooperativa.,
2.303,Aquisição de serviço de comunicação por estabelecimento comercial,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de comunicação utilizados por estabelecimento comercial de cooperativa.,
2.304,Aquisição de serviço de comunicação por estabelecimento de prestador de serviço de transporte,Classificam-se neste código as aquisições de serviços de comunicação utilizado por estabelecimento prestador de serviço de transporte.,
2.305,Aquisição de serviço de comunicação por estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.,
2.306,Aquisição de serviço de comunicação por estabelecimento de produtor rural,Classificam-se neste código as aquisições de serviços de comunicação utilizados por estabelecimento de produtor rural.,
2.35,AQUISIÇÕES DE SERVIÇOS DE TRANSPORTE, Início,
2.351,Aquisição de serviço de transporte para execução de serviço da mesma natureza,Classificam-se neste código as aquisições de serviços de transporte utilizados nas prestações de serviços da mesma natureza.,
2.352,Aquisição de serviço de transporte por estabelecimento industrial,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento industrial de cooperativa.,
2.353,Aquisição de serviço de transporte por estabelecimento comercial,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial. Também serão classificadas neste código as aquisições de serviços de transporte utilizados por estabelecimento comercial de cooperativa.,
2.354,Aquisição de serviço de transporte por estabelecimento de prestador de serviço de comunicação,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento prestador de serviços de comunicação.,
2.355,Aquisição de serviço de transporte por estabelecimento de geradora ou de distribuidora de energia elétrica,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia elétrica.,
2.356,Aquisição de serviço de transporte por estabelecimento de produtor rural,Classificam-se neste código as aquisições de serviços de transporte utilizados por estabelecimento de produtor rural.,
2.4,ENTRADAS DE MERCADORIAS SUJEITAS AO REGIME DE SUBSTITUIÇÃO TRIBUTÁRIA, Início,
2.401,Compra para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Compra de mercadoria, sujeita ao regime de substituição tributária, a ser utilizada em processo de industrialização ou produção rural, bem como compra, por estabelecimento industrial ou produtor rural de cooperativa, de mercadoria sujeita ao mencionado regime.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.403,Compra para comercialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de mercadorias a serem comercializadas, decorrentes de operações com mercadorias sujeitas ao regime de substituição tributária. Também serão classificadas neste código as compras de mercadorias sujeitas ao regime de substituição tributária em estabelecimento comercial de cooperativa.",
2.406,Compra de bem para o ativo imobilizado cuja mercadoria está sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",
2.407,Compra de mercadoria para uso ou consumo cuja mercadoria está sujeita ao regime de substituição tributária,"Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em operações com mercadorias sujeitas ao regime de substituição tributária.",
2.408,Transferência para industrialização ou produção rural de mercadoria sujeita ao regime de substituição tributária (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Entrada de mercadoria, sujeita ao regime de substituição tributária, recebida em transferência de outro estabelecimento da mesma empresa, para ser industrializada ou consumida na produção rural no estabelecimento destinatário.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.409,Transferência para comercialização em operação com mercadoria sujeita ao regime de substituição tributária,"Classificam-se neste código as mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de operações sujeitas ao regime de substituição tributária.",
2.41,"Devolução de venda de produção do estabelecimento, quando o produto estiver sujeito ao regime de substituição tributária","Devolução de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como ""Venda de produção do estabelecimento quando o produto estiver sujeito ao regime de substituição tributária"".",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.411,Devolução de venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária,"Devolução de vendas de mercadoria adquirida ou recebida de terceiro, cuja saída tenha sido classificada como “Venda de mercadoria adquirida ou recebida de terceiros em operação com mercadoria sujeita ao regime de substituição tributária”.",
2.414,"Retorno de produção do estabelecimento, remetida para venda fora do estabelecimento, quando o produto estiver sujeito ao regime de substituição tributária","Entrada, em retorno, de produto industrializado ou produzido pelo estabelecimento sujeito ao regime de substituição tributária, remetido para venda fora do estabelecimento, inclusive por meio de veículo, e não comercializado.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.415,"Retorno de mercadoria adquirida ou recebida de terceiros, remetida para venda fora do estabelecimento em operação com mercadoria sujeita ao regime de substituição tributária","Entrada, em retorno, de mercadoria sujeita ao regime de substituição tributária, adquirida ou recebida de terceiro remetida para venda fora do estabelecimento, inclusive por meio de veículo, e não comercializada.",
2.5,ENTRADAS DE MERCADORIAS REMETIDAS PARA FORMAÇÃO DE LOTE OU COM FIM ESPECÍFICO DE EXPORTAÇÃO E EVENTUAIS DEVOLUÇÕES (NR Ajuste SINIEF 09/2005), Início,
,,,
,,"(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)",
2.501,Entrada de mercadoria recebida com fim específico de exportação,"Classificam-se neste código as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim específico de exportação.",
2.503,"Entrada decorrente de devolução de produto industrializado pelo estabelecimento, remetido com fim específico de exportação","Devolução de produto industrializado ou produzido pelo estabelecimento, remetido a ""trading company"", a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cuja saída tenha sido classificada no código ""6.501 – Remessa de produção do estabelecimento com fim específico de exportação"".",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.504,"Entrada decorrente de devolução de mercadoria remetida com fim específico de exportação, adquirida ou recebida de terceiros","Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim específico de exportação, cujas saídas tenham sido classificadas no código 6.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim específico de exportação.",
2.505,"Entrada decorrente de devolução simbólica de mercadoria remetida para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento.","Devolução simbólica de mercadoria remetida para formação de lote de exportação, cuja saída tenha sido classificada no código ""6.504 – Remessa de mercadoria para formação de lote de exportação, de produto industrializado ou produzido pelo próprio estabelecimento"". (ACR Ajuste SINIEF 09/2005) (Decreto 28.868/2006)",
,,,
,,"(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)",
2.506,"Entrada decorrente de devolução simbólica de mercadoria, adquirida ou recebida de terceiros, remetida para formação de lote de exportação.","Devolução simbólica de mercadoria remetida para formação de lote de exportação em armazéns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legislação tributária de cada Unidade Federada, efetuada pelo estabelecimento depositário, cuja saída tenha sido classificada no código ""6.505 – Remessa de mercadoria, adquirida ou recebida de terceiros, para formação de lote de exportação"".",
,,,
,,"(ACR Ajuste SINIEF 09/2005) (Dec. 28.868/2006 - a sua aplicação será obrigatória em relação aos fatos geradores ocorridos a partir de 01 de julho de 2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de janeiro a 30 de junho de 2006)",
2.55,OPERAÇÕES COM BENS DE ATIVO IMOBILIZADO E MATERIAIS PARA USO OU CONSUMO, Início,
2.551,Compra de bem para o ativo imobilizado,Classificam-se neste código as compras de bens destinados ao ativo imobilizado do estabelecimento.,
2.552,Transferência de bem do ativo imobilizado,Classificam-se neste código as entradas de bens destinados ao ativo imobilizado recebidos em transferência de outro estabelecimento da mesma empresa.,
2.553,Devolução de venda de bem do ativo imobilizado,"Classificam-se neste código as devoluções de vendas de bens do ativo imobilizado, cujas saídas tenham sido classificadas no código 6.551 - Venda de bem do ativo imobilizado.",
2.554,Retorno de bem do ativo imobilizado remetido para uso fora do estabelecimento,"Classificam-se neste código as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas saídas tenham sido classificadas no código 6.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.",
2.555,"Entrada de bem do ativo imobilizado de terceiro, remetido para uso no estabelecimento","Classificam-se neste código as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.",
2.556,Compra de material para uso ou consumo,Classificam-se neste código as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.,
2.557,Transferência de material para uso ou consumo,Classificam-se neste código as entradas de materiais para uso ou consumo recebidos em transferência de outro estabelecimento da mesma empresa.,
2.6,CRÉDITOS E RESSARCIMENTOS DE ICMS, Início,
2.603,Ressarcimento de ICMS retido por substituição tributária,"Classificam-se neste código os lançamentos destinados ao registro de ressarcimento de ICMS retido por substituição tributária a contribuinte substituído, efetuado pelo contribuinte substituto, nas hipóteses previstas na legislação aplicável.",
2.65,"ENTRADAS DE COMBUSTÍVEIS, DERIVADOS OU NÃO DE PETRÓLEO, E LUBRIFICANTES (ACR Ajuste SINIEF 9/2003)",(ACR Ajuste SINIEF 05/2005) (Dec.28.868/2006 ),
,,,
,,Início,
2.651,Compra de combustível ou lubrificante para industrialização subseqüente,Compra de combustível ou lubrificante a ser utilizados em processo de industrialização do próprio produto. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003),
2.652,Compra de combustível ou lubrificante para comercialização,Compra de combustível ou lubrificante a ser comercializados. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003),
2.652,Compra de combustível ou lubrificante para comercialização,Compra de combustível ou lubrificante a ser comercializados.,
,,,
,,(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003),
2.653,Compra de combustível ou lubrificante por consumidor ou usuário final,"Compra de combustível ou lubrificante, a ser consumidos em processo de industrialização de outros produtos, na produção rural, na prestação de serviço ou por usuário final.",
,,,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
2.658,Transferência de combustível ou lubrificante para industrialização,"Entrada de combustível ou lubrificante, recebidos em transferência de outro estabelecimento da mesma empresa, para ser utilizados em processo de industrialização do próprio produto. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
2.659,Transferência de combustível ou lubrificante para comercialização,"Entrada de combustível ou lubrificante, recebidos em transferência de outro estabelecimento da mesma empresa, para ser comercializados. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
2.66,Devolução de venda de combustível ou lubrificante destinados à industrialização subseqüente,"Devolução de venda de combustível ou lubrificante, cuja saída tenha sido classificada como ""Venda de combustível ou lubrificante destinados à industrialização subseqüente"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
2.661,Devolução de venda de combustível ou lubrificante destinados à comercialização,"Devolução de venda de combustível ou lubrificante, cuja saída tenha sido classificada como ""Venda de combustível ou lubrificante para comercialização"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
2.662,Devolução de venda de combustível ou lubrificante destinados a consumidor ou usuário final,"Devolução de venda de combustível ou lubrificante, cuja saída tenha sido classificada como ""Venda de combustível ou lubrificante por consumidor ou usuário final"".(a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
2.663,Entrada de combustível ou lubrificante para armazenagem,Entrada de combustível ou lubrificante para armazenagem. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003),
2.664,Retorno de combustível ou lubrificante remetidos para armazenagem,"Entrada, ainda que simbólica, por retorno de combustível ou lubrificante, remetidos para armazenagem. (a partir 01.01.2004 -  Decreto Nº 26.174 de 26/11/2003)",
2.9,OUTRAS ENTRADAS DE MERCADORIAS OU AQUISIÇÕES DE SERVIÇOS, Início,
2.901,Entrada para industrialização por encomenda,Classificam-se neste código as entradas de insumos recebidos para industrialização por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.,
2.902,Retorno de mercadoria remetida para industrialização por encomenda,"Classificam-se neste código o retorno dos insumos remetidos para industrialização por encomenda, incorporados ao produto final pelo estabelecimento industrializador.",
2.903,Entrada de mercadoria remetida para industrialização e não aplicada no referido processo,Classificam-se neste código as entradas em devolução de insumos remetidos para industrialização e não aplicados no referido processo.,
2.904,Retorno de remessa para venda fora do estabelecimento,"Classificam-se neste código as entradas em retorno de mercadorias remetidas para venda fora do estabelecimento, inclusive por meio de veículos, e não comercializadas.",
2.905,Entrada de mercadoria recebida para depósito em depósito fechado ou armazém geral,Classificam-se neste código as entradas de mercadorias recebidas para depósito em depósito fechado ou armazém geral.,
2.906,Retorno de mercadoria remetida para depósito fechado ou armazém geral,Classificam-se neste código as entradas em retorno de mercadorias remetidas para depósito em depósito fechado ou armazém geral.,
2.907,Retorno simbólico de mercadoria remetida para depósito fechado ou armazém geral,"Classificam-se neste código as entradas em retorno simbólico de mercadorias remetidas para depósito em depósito fechado ou armazém geral, quando as mercadorias depositadas tenham sido objeto de saída a qualquer título e que não tenham retornado ao estabelecimento depositante.",
2.908,Entrada de bem por conta de contrato de comodato,Classificam-se neste código as entradas de bens recebidos em cumprimento de contrato de comodato.,
2.909,Retorno de bem remetido por conta de contrato de comodato,Classificam-se neste código as entradas de bens recebidos em devolução após cumprido o contrato de comodato.,
2.91,"Entrada de bonificação, doação ou brinde","Classificam-se neste código as entradas de mercadorias recebidas a título de bonificação, doação ou brinde.",
2.911,Entrada de amostra grátis,Classificam-se neste código as entradas de mercadorias recebidas a título de amostra grátis.,
2.912,Entrada de mercadoria ou bem recebido para demonstração,Classificam-se neste código as entradas de mercadorias ou bens recebidos para demonstração.,
2.913,Retorno de mercadoria ou bem remetido para demonstração,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para demonstração.,
2.914,Retorno de mercadoria ou bem remetido para exposição ou feira,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para exposição ou feira.,
2.915,Entrada de mercadoria ou bem recebido para conserto ou reparo,Classificam-se neste código as entradas de mercadorias ou bens recebidos para conserto ou reparo.,
2.916,Retorno de mercadoria ou bem remetido para conserto ou reparo,Classificam-se neste código as entradas em retorno de mercadorias ou bens remetidos para conserto ou reparo.,
2.917,Entrada de mercadoria recebida em consignação mercantil ou industrial,Classificam-se neste código as entradas de mercadorias recebidas a título de consignação mercantil ou industrial.,
2.918,Devolução de mercadoria remetida em consignação mercantil ou industrial,Classificam-se neste código as entradas por devolução de mercadorias remetidas anteriormente a título de consignação mercantil ou industrial.,
2.919,"Devolução simbólica de mercadoria vendida ou utilizada em processo industrial, remetida anteriormente em consignação mercantil ou industrial","Classificam-se neste código as entradas por devolução simbólica de mercadorias vendidas ou utilizadas em processo industrial, remetidas anteriormente a título de consignação mercantil ou industrial.",
2.92,Entrada de vasilhame ou sacaria,Classificam-se neste código as entradas de vasilhame ou sacaria.,
2.921,Retorno de vasilhame ou sacaria,Classificam-se neste código as entradas em retorno de vasilhame ou sacaria.,
2.922,Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro,Classificam-se neste código os registros efetuados a título de simples faturamento decorrente de compra para recebimento futuro.,
2.923,"Entrada de mercadoria recebida do vendedor remetente, em venda à ordem","Classificam-se neste código as entradas de mercadorias recebidas do vendedor remetente, em vendas à ordem, cuja compra do adquirente originário, foi classificada nos códigos 2.120 - Compra para industrialização, em venda à ordem, já recebida do vendedor remetente ou 2.121 - Compra para comercialização, em venda à ordem, já recebida do vendedor remetente.",
2.924,"Entrada para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","Classificam-se neste código as entradas de insumos recebidos para serem industrializados por conta e ordem do adquirente, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente dos mesmos.",
2.925,"Retorno de mercadoria remetida para industrialização por conta e ordem do adquirente da mercadoria, quando esta não transitar pelo estabelecimento do adquirente","Classificam-se neste código o retorno dos insumos remetidos por conta e ordem do adquirente, para industrialização e incorporados ao produto final pelo estabelecimento industrializador, nas hipóteses em que os insumos não tenham transitado pelo estabelecimento do adquirente.",
2.931,"Lançamento efetuado pelo tomador do serviço de transporte, quando a responsabilidade de retenção do imposto for atribuída ao remetente ou alienante da mercadoria, pelo serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na Unidade da Federação onde se tenha iniciado o serviço ","Lançamento efetuado pelo tomador do serviço de transporte realizado por transportador autônomo ou por transportador não-inscrito na Unidade da Federação onde se tenha iniciado o serviço, quando a responsabilidade pela retenção do imposto for atribuída ao remetente ou alienante da mercadoria.",
,,,
,, (ACR Ajuste SINIEF 03/2004) (DECRETO Nº 26.810/2004) (a partir de 01.01.2005),
2.932,Aquisição de serviço de transporte iniciado em Unidade da Federação diversa daquela onde esteja inscrito o prestador,Aquisição de serviço de transporte que tenha sido iniciado em Unidade da Federação diversa daquela onde o prestador esteja inscrito como contribuinte. (ACR Ajuste SINIEF 03/2004) (DECRETO Nº 26.810/2004) (a partir de 01.01.2005),
2.933,Aquisição de serviço tributado pelo Imposto Sobre Serviços de Qualquer Natureza,"Aquisição de serviço, cujo imposto é de competência municipal, desde que informado em Nota Fiscal modelo 1 e 1-A. (NR Ajuste SINIEF 06/2005) (a partir de 01.01.2006)",
2.934,Entrada simbólica de mercadoria recebida para depósito fechado ou armazém geral,"Classificam-se neste código as entradas simbólicas de mercadorias recebidas para depósito em depósito fechado ou armazém geral, cuja remessa tenha sido classificada pelo remetente no código ""6.934 - Remessa simbólica de mercadoria depositada em armazém geral ou depósito fechado (AJUSTE SINIEF 14, DE 11 DE DEZEMBRO DE 2009 efeitos a partir de 1º de julho de 2010- DECRETO 36.465/2011",
,,,
,"(AJUSTE SINIEF 14, DE 11 DE DEZEMBRO DE 2009) efeitos a partir de 1º de julho de 2010- DECRETO 36.465/2011",,
2.949,Outra entrada de mercadoria ou prestação de serviço não especificado,Classificam-se neste código as outras entradas de mercadorias ou prestações de serviços que não tenham sido especificados nos códigos anteriores.,
3,ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO EXTERIOR,"Classificam-se, neste grupo, as entradas de mercadorias oriundas de outro país, inclusive as decorrentes de aquisição por arrematação, concorrência ou qualquer outra forma de alienação promovida pelo poder público, e os serviços iniciados no exterior",
3.1,"COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006)", Início,
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
3.101,Compra para industrialização ou produção rural (NR Ajuste SINIEF 05/2005) (Decreto 28.868/2006),"Compra de mercadoria a ser utilizada em processo de industrialização ou produção rural, bem como a entrada de mercadoria em estabelecimento industrial ou produtor rural de cooperativa.",
,,"(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua adoção para fatos geradores ocorridos no período de 01 de novembro a 31 de dezembro de 2005)",
3.102,Compra para comercialização,Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa.,
